,id,type,n_likes,n_comments
637,638,Sidecar,14242.0,54.0
638,639,Sidecar,4433321.0,44984.0
639,640,Sidecar,2679.0,25.0
640,641,Sidecar,27420.0,88.0
641,642,Sidecar,1320.0,17.0
642,643,Sidecar,3714902.0,28791.0
643,644,Sidecar,53214.0,185.0
644,645,Sidecar,8756.0,34.0
645,646,Sidecar,9660689.0,22249.0
646,647,Sidecar,666.0,14.0
647,648,Sidecar,12058900.0,24938.0
648,649,Sidecar,1917.0,2.0
649,650,Sidecar,4130.0,18.0
650,651,Sidecar,45642.0,219.0
651,652,Sidecar,13825519.0,19950.0
652,653,Sidecar,4765.0,22.0
653,654,Sidecar,801.0,15.0
654,655,Sidecar,441.0,27.0
655,656,Sidecar,4261.0,3.0
656,657,Sidecar,116.0,5.0
657,658,Sidecar,3097.0,52.0
658,659,Sidecar,1392.0,2.0
659,660,Sidecar,3555.0,35.0
660,661,Sidecar,1873.0,12.0
661,662,Sidecar,218237.0,430.0
662,663,Sidecar,14184.0,102.0
663,664,Sidecar,12476.0,34.0
664,665,Sidecar,1864.0,26.0
665,666,Sidecar,10073.0,97.0
666,667,Sidecar,938672.0,1642.0
667,668,Sidecar,22745.0,35.0
668,669,Sidecar,123446.0,360.0
669,670,Sidecar,11907.0,45.0
670,671,Sidecar,12214.0,54.0
671,672,Sidecar,34533.0,104.0
672,673,Sidecar,34589.0,279.0
673,674,Sidecar,2886.0,9.0
674,675,Sidecar,36308.0,137.0
675,676,Sidecar,16271.0,107.0
676,677,Sidecar,32624.0,287.0
677,678,Sidecar,30136.0,160.0
678,679,Sidecar,18767.0,70.0
679,680,Sidecar,32320.0,159.0
680,681,Sidecar,9229231.0,20272.0
681,682,Sidecar,331719.0,649.0
682,683,Sidecar,4861471.0,4847.0
683,684,Sidecar,26252.0,174.0
684,685,Sidecar,1188.0,17.0
685,686,Sidecar,97585.0,246.0
686,687,Sidecar,1432.0,14.0
687,688,Sidecar,13725.0,61.0
688,689,Sidecar,33947.0,309.0
689,690,Sidecar,688.0,15.0
690,691,Sidecar,1820.0,18.0
691,692,Sidecar,16633.0,77.0
692,693,Sidecar,2168.0,43.0
693,694,Sidecar,1248.0,14.0
694,695,Sidecar,2003.0,15.0
695,696,Sidecar,236.0,10.0
696,697,Sidecar,21109.0,79.0
697,698,Sidecar,27456.0,81.0
698,699,Sidecar,2367.0,16.0
699,700,Sidecar,1672.0,25.0
700,701,Sidecar,4900.0,43.0
701,702,Sidecar,3541.0,26.0
702,703,Sidecar,10701.0,66.0
703,704,Sidecar,245.0,6.0
704,705,Sidecar,1014.0,16.0
705,706,Sidecar,1854.0,32.0
706,707,Sidecar,3278330.0,0.0
707,708,Sidecar,1064.0,32.0
708,709,Sidecar,218.0,9.0
709,710,Sidecar,622.0,8.0
710,711,Sidecar,1082.0,35.0
711,712,Sidecar,3281.0,31.0
712,713,Sidecar,3513.0,31.0
713,714,Sidecar,1142.0,11.0
714,715,Sidecar,537.0,8.0
715,716,Sidecar,7182.0,17.0
716,717,Sidecar,1880.0,22.0
717,718,Sidecar,27608.0,193.0
718,719,Sidecar,166938.0,271.0
719,720,Sidecar,3556687.0,0.0
720,721,Sidecar,4668966.0,0.0
721,722,Sidecar,5977526.0,0.0
722,723,Sidecar,72969.0,197.0
723,724,Sidecar,5084480.0,0.0
724,725,Sidecar,167.0,3.0
725,726,Sidecar,3977768.0,0.0
726,727,Sidecar,321.0,13.0
727,728,Sidecar,326.0,7.0
728,729,Sidecar,3114.0,4.0
729,730,Sidecar,319.0,4.0
730,731,Sidecar,1075.0,84.0
731,732,Sidecar,242.0,4.0
732,733,Sidecar,305.0,3.0
